Account Statement for * (Virtual Account) since 6/21/22 through 6/21/22

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
,,,,TOTAL,,,,

Futures Statements
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance

Forex Statements
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance

 
Total Cash **************


Account Order History
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,6/21/22 15:05:23,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 15:01:36,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.29,LMT,DAY,CANCELED
,,6/21/22 14:50:02,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,RE #2146484153,,,,,,,,166.80,STP,STD,
,,6/21/22 14:49:57,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,166.82,STP,STD,
,,6/21/22 14:48:09,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 14:47:54,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.02,LMT,DAY,FILLED
,,,RE #2146484147,,,,,,,,,,,
,,6/21/22 14:47:26,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,166.78,LMT,DAY,CANCELED
,,,RE #2146484147,,,,,,,,,,,
,,6/21/22 14:41:20,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,166.62,LMT,DAY,CANCELED
,,6/21/22 14:40:42,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 14:39:10,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,166.61,LMT,DAY,FILLED
,,6/21/22 14:34:54,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484136,,,,,,,,167.57,STP,STD,
,,6/21/22 14:34:51,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484136,,,,,,,,167.53,STP,STD,
,,6/21/22 14:34:46,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484136,,,,,,,,167.49,STP,STD,
,,6/21/22 14:34:42,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484136,,,,,,,,167.47,STP,STD,
,,6/21/22 14:28:33,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,167.40,STP,STD,
,,6/21/22 14:28:27,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 14:15:28,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.01,LMT,DAY,FILLED
,,,RE #2146484124,,,,,,,,,,,
,,6/21/22 14:15:17,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.03,LMT,DAY,CANCELED
,,,RE #2146484124,,,,,,,,,,,
,,6/21/22 14:15:13,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.04,LMT,DAY,CANCELED
,,,RE #2146484124,,,,,,,,,,,
,,6/21/22 14:15:10,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.07,LMT,DAY,CANCELED
,,,RE #2146484124,,,,,,,,,,,
,,6/21/22 14:15:06,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.03,LMT,DAY,"REJECTED: Your buying power will be below zero ($67,286.00) if this order is accepted."
,,6/21/22 14:14:42,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.40,LMT,DAY,CANCELED
,,6/21/22 14:14:37,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($67,531.00) if this order is accepted."
,,,,,,,,,,,167.40,STP,STD,
,,6/21/22 14:14:30,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,166.77,STP,STD,
,,6/21/22 14:14:24,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 14:10:34,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.31,LMT,DAY,FILLED
,,6/21/22 14:09:57,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,166.93,STP,STD,
,,6/21/22 14:09:47,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 14:07:59,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.33,LMT,DAY,FILLED
,,6/21/22 14:07:52,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,167.64,STP,STD,
,,6/21/22 14:07:48,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 14:07:40,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($67,966.00) if this order is accepted."
,,6/21/22 14:07:34,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.34,LMT,DAY,FILLED
,,,RE #2146484108,,,,,,,,,,,
,,6/21/22 14:07:28,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.44,LMT,DAY,CANCELED
,,6/21/22 14:07:19,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,166.92,STP,STD,
,,6/21/22 14:07:10,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 14:06:57,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.19,LMT,DAY,FILLED
,,6/21/22 14:06:51,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484099,,,,,,,,167.65,STP,STD,
,,6/21/22 14:06:48,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484099,,,,,,,,167.63,STP,STD,
,,6/21/22 14:06:45,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,167.61,STP,STD,
,,6/21/22 14:06:43,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:55:30,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:40:57,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.57,LMT,DAY,CANCELED
,,6/21/22 13:40:53,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.92,STP,STD,
,,6/21/22 13:40:38,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:40:34,STOCK,SELL,-200,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:40:20,STOCK,SELL,-200,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:21:15,STOCK,BUY,+200,AUTO,NVDA,,,STOCK,168.57,LMT,DAY,FILLED
,,,RE #2146484086,,,,,,,,,,,
,,6/21/22 13:21:05,STOCK,BUY,+200,AUTO,NVDA,,,STOCK,168.49,LMT,DAY,CANCELED
,,6/21/22 13:20:14,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484075,,,,,,,,169.01,STP,STD,
,,6/21/22 13:20:03,STOCK,BUY,+300,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:19:54,STOCK,BUY,+300,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($35,842.00) if this order is accepted."
,,6/21/22 13:18:23,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484075,,,,,,,,169.35,STP,STD,
,,6/21/22 13:18:07,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,168.55,LMT,DAY,CANCELED
,,6/21/22 13:16:07,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484075,,,,,,,,169.55,STP,STD,
,,6/21/22 13:16:00,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,169.50,STP,STD,
,,6/21/22 13:15:57,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:11:07,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,169.31,LMT,DAY,CANCELED
,,6/21/22 13:07:44,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.51,LMT,DAY,FILLED
,,,RE #2146484067,,,,,,,,,,,
,,6/21/22 13:07:39,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.64,LMT,DAY,CANCELED
,,,RE #2146484067,,,,,,,,,,,
,,6/21/22 13:07:37,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.73,LMT,DAY,CANCELED
,,6/21/22 13:06:37,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.22,STP,STD,
,,6/21/22 13:06:32,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 13:06:15,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.59,LMT,DAY,"REJECTED: Your buying power will be below zero ($68,695.00) if this order is accepted."
,,6/21/22 13:01:03,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,169.33,LMT,DAY,CANCELED
,,6/21/22 13:00:25,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,169.47,LMT,DAY,CANCELED
,,6/21/22 13:00:24,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,169.47,LMT,DAY,CANCELED
,,6/21/22 13:00:24,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,169.47,LMT,DAY,CANCELED
,,6/21/22 13:00:24,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,169.47,LMT,DAY,CANCELED
,,6/21/22 13:00:22,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,169.47,LMT,DAY,CANCELED
,,6/21/22 12:58:16,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:58:13,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:57:06,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484034,,,,,,,,168.44,STP,STD,
,,6/21/22 12:57:06,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484031,,,,,,,,168.44,STP,STD,
,,6/21/22 12:57:03,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484034,,,,,,,,168.42,STP,STD,
,,6/21/22 12:57:03,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484031,,,,,,,,168.42,STP,STD,
,,6/21/22 12:56:45,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,169.05,LMT,DAY,CANCELED
,,6/21/22 12:56:45,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,169.05,LMT,DAY,CANCELED
,,6/21/22 12:56:35,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.39,STP,STD,
,,6/21/22 12:55:47,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484031,,,,,,,,168.39,STP,STD,
,,6/21/22 12:55:43,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.42,STP,STD,
,,6/21/22 12:55:33,STOCK,SELL,-300,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:55:03,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,169.17,LMT,DAY,"REJECTED: Your buying power will be below zero ($69,495.60) if this order is accepted."
,,6/21/22 12:51:18,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,167.96,STP,STD,
,,6/21/22 12:51:08,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146484005,,,,,,,,167.96,STP,STD,
,,6/21/22 12:49:55,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.34,LMT,DAY,CANCELED
,,,RE #2146484006,,,,,,,,,,,
,,6/21/22 12:49:49,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($69,581.00) if this order is accepted."
,,6/21/22 12:49:43,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.32,LMT,DAY,CANCELED
,,,RE #2146484006,,,,,,,,,,,
,,6/21/22 12:49:34,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.33,LMT,DAY,CANCELED
,,,RE #2146484006,,,,,,,,,,,
,,6/21/22 12:49:32,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.50,LMT,DAY,CANCELED
,,,RE #2146484006,,,,,,,,,,,
,,6/21/22 12:49:17,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.55,LMT,DAY,CANCELED
,,,RE #2146484006,,,,,,,,,,,
,,6/21/22 12:49:06,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.45,LMT,DAY,CANCELED
,,,RE #2146484006,,,,,,,,,,,
,,6/21/22 12:47:21,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.34,LMT,DAY,CANCELED
,,,RE #2146484006,,,,,,,,,,,
,,6/21/22 12:47:16,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.38,LMT,DAY,"REJECTED: Your buying power will be below zero ($69,461.00) if this order is accepted."
,,6/21/22 12:46:42,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.49,LMT,DAY,CANCELED
,,6/21/22 12:46:04,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,167.65,STP,STD,
,,6/21/22 12:45:55,STOCK,BUY,+1000,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:42:55,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.21,LMT,DAY,CANCELED
,,,RE #2146483991,,,,,,,,,,,
,,6/21/22 12:42:49,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.01,LMT,DAY,CANCELED
,,,RE #2146483991,,,,,,,,,,,
,,6/21/22 12:42:41,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($69,531.00) if this order is accepted."
,,,,,,,,,,,167.09,STP,STD,
,,6/21/22 12:40:46,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.75,STP,STD,
,,6/21/22 12:40:35,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:40:18,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($68,443.50) if this order is accepted."
,,6/21/22 12:40:18,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:16:56,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:11:23,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,165.79,LMT,DAY,CANCELED
,,6/21/22 12:09:56,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,167.89,STP,STD,
,,6/21/22 12:08:59,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:06:33,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.05,LMT,DAY,CANCELED
,,6/21/22 12:06:05,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,167.26,STP,STD,
,,6/21/22 12:06:01,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:04:55,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.72,LMT,DAY,FILLED
,,,RE #2146483982,,,,,,,,,,,
,,6/21/22 12:04:48,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.85,LMT,DAY,CANCELED
,,6/21/22 12:04:45,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 12:03:43,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($68,386.00) if this order is accepted."
,,,,,,,,,,,167.87,STP,STD,
,,6/21/22 12:03:35,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.72,LMT,DAY,FILLED
,,6/21/22 12:01:58,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.45,STP,STD,
,,6/21/22 12:01:51,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:59:41,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.81,LMT,DAY,FILLED
,,,RE #2146483971,,,,,,,,,,,
,,6/21/22 11:59:33,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.91,LMT,DAY,CANCELED
,,,RE #2146483971,,,,,,,,,,,
,,6/21/22 11:59:31,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,167.89,LMT,DAY,CANCELED
,,6/21/22 11:59:27,STOCK,BUY,+1000,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:57:02,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.09,LMT,DAY,FILLED
,,,RE #2146483965,,,,,,,,,,,
,,6/21/22 11:56:49,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.07,LMT,DAY,CANCELED
,,,RE #2146483965,,,,,,,,,,,
,,6/21/22 11:56:18,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.05,LMT,DAY,CANCELED
,,6/21/22 11:55:18,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,168.01,STP,STD,
,,6/21/22 11:53:35,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.61,LMT,DAY,CANCELED
,,6/21/22 11:52:40,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,168.04,STP,STD,
,,6/21/22 11:51:55,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,168.04,STP,STD,
,,6/21/22 11:51:48,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:50:26,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.46,LMT,DAY,FILLED
,,,RE #2146483955,,,,,,,,,,,
,,6/21/22 11:50:23,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.54,LMT,DAY,CANCELED
,,6/21/22 11:48:38,STOCK,BUY,+100,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:47:59,STOCK,BUY,+300,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:46:20,STOCK,SELL,-100,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.06,STP,STD,
,,6/21/22 11:45:59,STOCK,BUY,+100,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:40:54,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:40:49,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($69,798.00) if this order is accepted."
,,6/21/22 11:31:29,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($70,572.30) if this order is accepted."
,,6/21/22 11:26:49,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,168.68,LMT,DAY,CANCELED
,,6/21/22 11:26:03,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:23:24,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,169.46,LMT,DAY,FILLED
,,6/21/22 11:21:49,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,169.48,LMT,DAY,CANCELED
,,6/21/22 11:15:22,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,170.23,STP,STD,
,,6/21/22 11:15:16,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:10:49,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:10:29,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.70,STP,STD,
,,6/21/22 11:10:16,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:09:56,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,169.38,LMT,DAY,FILLED
,,6/21/22 11:09:23,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,169.34,LMT,DAY,CANCELED
,,6/21/22 11:09:10,STOCK,BUY,+1000,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 11:02:12,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,168.34,LMT,DAY,CANCELED
,,,RE #2146483924,,,,,,,,,,,
,,6/21/22 11:02:06,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,168.03,LMT,DAY,CANCELED
,,,RE #2146483924,,,,,,,,,,,
,,6/21/22 11:01:05,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,168.37,LMT,DAY,CANCELED
,,6/21/22 10:56:38,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,169.80,STP,STD,
,,6/21/22 10:56:33,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 10:50:21,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($69,678.00) if this order is accepted."
,,6/21/22 10:50:18,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,RE #2146483917,,,,,,,,169.46,STP,STD,
,,6/21/22 10:47:11,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,169.59,STP,STD,
,,6/21/22 10:47:07,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 10:36:48,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,,169.26,STP,STD,
,,6/21/22 10:36:26,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,167.44,LMT,DAY,CANCELED
,,6/21/22 10:36:17,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($69,280.50) if this order is accepted."
,,,,,,,,,,,167.46,STP,STD,
,,6/21/22 10:31:51,STOCK,SELL,-1000,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 10:31:14,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,168.69,LMT,DAY,CANCELED
,,6/21/22 10:29:59,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,RE #2146483906,,,,,,,,168.23,STP,STD,
,,6/21/22 10:28:51,STOCK,SELL,-500,AUTO,NVDA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,,168.29,STP,STD,
,,6/21/22 10:28:48,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
,,6/21/22 10:28:43,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($69,058.00) if this order is accepted."
,,6/21/22 10:28:38,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,"REJECTED: Your buying power will be below zero ($68,988.00) if this order is accepted."
,,6/21/22 10:16:57,STOCK,BUY,+500,AUTO,NVDA,,,STOCK,~,MKT,DAY,FILLED
